target,clang,afl,datAFLow-access,datAFLow-access-idx,angora-track
400.perlbench,240,481,952,958,43600
401.bzip2,400,675,1000,1050,10700
403.gcc,233,352,504,483,5020
429.mcf,233,335,522,540,2810
433.milc,470,490,525,533,4000
444.namd,287,347,462,499,
445.gobmk,376,582,1180,1210,8740
447.dealII,240,341,574,604,
450.soplex,198,266,436,401,
453.povray,113,198,514,520,
456.hmmer,275,361,1580,1720,17000
458.sjeng,382,609,1850,1910,12000
462.libquantum,306,418,538,582,8200
464.h264ref,369,527,1210,1240,15500
470.lbm,240,260,254,254,4200
471.omnetpp,280,418,535,536,
473.astar,332,448,677,705,
482.sphinx3,428,554,1370,1470,11000
483.xalancbmk,166,345,515,506,
